"ACT composite score","SAT total score","parental level of education","parental income","high school gpa","college gpa","years to graduate"
"31","2174","some college","88342","4.0","3.6","4"
"21","1780","some college","37373","3.0","3.2","5"
"29","1962","some high school","58444","3.7","3.6","3"
"29","2097","master's degree","84114","3.8","3.4","4"
"29","2023","high school","67296","3.8","3.5","6"
"32","2260","bachelor's degree","108541","4.0","3.9","3"
"28","1951","some high school","39901","3.8","3.0","6"
"33","2046","high school","59716","4.0","3.6","8"
"28","1915","some high school","46998","3.5","3.3","6"
"31","2079","some college","44066","4.0","3.4","5"
"25","1852","associate's degree","67870","3.3","3.1","8"
"27","1986","associate's degree","73535","3.7","3.2","5"
"29","2102","some high school","49441","3.9","3.4","5"
"28","2030","associate's degree","80201","3.7","3.2","5"
"29","1998","associate's degree","64141","3.7","3.4","4"
"29","1924","some college","100995","3.7","3.2","6"
"27","2035","associate's degree","94436","3.8","3.3","6"
"30","2075","some college","72584","4.0","3.4","4"
"27","2000","some high school","61217","3.8","3.4","6"
"30","1981","some college","62808","3.8","3.5","5"
"29","2001","some high school","47051","3.9","3.5","5"
"27","2046","high school","21708","3.8","3.4","4"
"34","2298","associate's degree","116853","4.0","4.0","4"
"22","1726","high school","87083","3.0","3.4","4"
"24","1669","some high school","52649","3.1","3.0","5"
"30","2174","some college","55307","4.0","3.3","6"
"31","2150","some college","77562","4.0","3.7","3"
"27","2003","some college","76398","3.7","3.5","5"
"30","2092","high school","72554","3.9","3.4","4"
"29","2022","some high school","35958","3.9","3.5","6"
"27","2014","some college","60454","3.9","3.5","3"
"28","2047","bachelor's degree","101549","3.9","3.6","4"
"28","2016","some college","68658","3.8","3.3","4"
"27","1857","some high school","72414","3.4","3.6","6"
"28","2152","bachelor's degree","62818","4.0","3.4","4"
"29","2021","high school","43119","3.7","3.6","4"
"31","2069","associate's degree","65895","3.9","3.4","4"
"30","2201","master's degree","93508","4.0","3.8","3"
"27","1935","high school","58110","3.6","3.5","5"
"30","2145","bachelor's degree","57553","4.0","3.4","4"
"31","2131","master's degree","78712","4.0","3.7","3"
"31","2091","associate's degree","75842","4.0","3.1","6"
"23","1844","master's degree","92990","3.3","3.7","6"
"31","2112","some college","53563","4.0","3.6","3"
"28","2012","some college","80335","3.7","3.4","8"
"30","2150","associate's degree","86703","4.0","3.5","5"
"28","1909","some high school","42062","3.6","3.2","7"
"29","1928","some high school","42403","3.8","3.3","5"
"28","1952","associate's degree","105988","3.6","3.8","3"
"29","2027","associate's degree","72632","3.8","3.2","6"
"25","1695","some high school","52798","3.0","3.0","4"
"29","1964","high school","47955","3.6","3.3","5"
"30","2072","some college","82863","4.0","3.3","5"
"26","1789","some high school","45885","3.3","3.2","7"
"33","2217","master's degree","104897","4.0","3.4","7"
"27","1863","some college","71899","3.4","3.5","3"
"29","1982","high school","74105","3.8","3.1","5"
"25","1824","master's degree","87796","3.3","3.3","4"
"32","2170","some college","67459","4.0","3.4","4"
"26","1863","associate's degree","47836","3.5","3.3","5"
"29","2000","some high school","45205","3.8","3.1","8"
"27","1922","some high school","61259","3.4","3.2","4"
"27","1905","some college","42351","3.6","3.2","5"
"30","2098","bachelor's degree","104396","4.0","3.5","5"
"25","1902","associate's degree","71625","3.5","3.1","5"
"28","1973","high school","95497","3.7","3.6","4"
"33","2121","some high school","80375","4.0","3.9","3"
"30","2031","some college","65423","4.0","3.0","5"
"27","1924","some high school","53470","3.5","3.6","3"
"31","2138","associate's degree","67117","4.0","3.4","4"
"29","1956","associate's degree","78231","3.6","3.5","4"
"29","1980","some high school","29249","3.8","3.4","4"
"28","1937","high school","69354","3.7","3.2","8"
"27","1839","some high school","79832","3.5","3.0","5"
"27","1852","some high school","45722","3.5","3.1","6"
"32","2274","master's degree","68319","4.0","3.6","4"
"28","1964","some college","60189","3.8","3.4","4"
"32","2134","some high school","41936","4.0","3.5","5"
"26","1811","high school","48264","3.3","3.4","4"
"27","1891","some high school","69560","3.5","3.2","8"
"30","2049","high school","47647","3.9","3.6","4"
"33","2196","master's degree","107941","4.0","3.5","5"
"32","2230","bachelor's degree","73465","4.0","3.3","6"
"25","1933","some college","84359","3.5","3.4","5"
"31","2026","some college","89909","3.9","3.5","5"
"31","2143","associate's degree","91088","4.0","3.4","7"
"30","2065","associate's degree","72982","3.9","3.3","4"
"31","2152","associate's degree","56570","4.0","3.5","4"
"26","1779","high school","77575","3.3","3.1","5"
"23","1756","associate's degree","67820","3.1","3.4","3"
"21","1642","some high school","58218","2.9","3.4","6"
"25","1776","some college","74991","3.2","3.2","4"
"25","1864","high school","34148","3.4","3.0","5"
"31","2044","high school","59731","3.9","3.8","7"
"33","2206","associate's degree","77375","4.0","3.4","5"
"29","2092","bachelor's degree","95933","4.0","3.5","6"
"28","2027","associate's degree","83029","3.8","3.5","6"
"24","1744","high school","36011","3.1","3.2","5"
"33","2123","high school","60118","4.0","3.3","7"
"32","2098","bachelor's degree","36936","4.0","3.0","9"
"29","1981","associate's degree","82782","3.9","3.4","4"
"29","1897","high school","82018","3.5","3.4","5"
"28","1916","associate's degree","91848","3.6","3.5","4"
"33","2206","bachelor's degree","95034","4.0","3.6","4"
"30","2064","some high school","37182","3.8","3.1","7"
"31","2123","high school","60235","4.0","3.8","4"
"26","1834","some high school","43752","3.4","3.3","6"
"32","2177","some college","60988","4.0","3.4","4"
"29","2131","some high school","40930","4.0","3.3","5"
"28","1932","some college","75922","3.7","3.3","7"
"26","1895","high school","15896","3.3","3.0","5"
"28","1931","some high school","41451","3.7","3.2","5"
"24","1681","some high school","26446","3.1","2.7","6"
"27","1985","some college","60536","3.6","3.4","5"
"22","1706","some high school","32907","2.9","3.0","8"
"27","1947","high school","41953","3.6","3.3","5"
"34","2282","associate's degree","69379","4.0","3.3","9"
"27","1906","high school","57621","3.5","3.3","4"
"25","1816","some high school","47417","3.3","3.1","7"
"28","2053","associate's degree","59363","3.9","3.5","4"
"28","2018","bachelor's degree","89340","3.8","3.4","4"
"32","2118","some high school","23320","4.0","3.5","5"
"23","1714","some high school","17101","3.2","3.1","7"
"26","1964","associate's degree","83918","3.6","3.4","4"
"30","2150","high school","59154","4.0","3.7","6"
"27","1909","associate's degree","95369","3.6","3.8","4"
"26","1830","some high school","56385","3.4","3.3","4"
"29","2043","some college","69768","3.9","3.4","5"
"28","1882","high school","60785","3.5","3.6","7"
"27","2046","associate's degree","58116","3.7","3.1","7"
"29","1984","master's degree","95087","3.8","3.5","5"
"28","1878","some high school","65323","3.7","3.3","4"
"28","2107","master's degree","89716","4.0","3.3","8"
"32","2196","some college","54273","4.0","3.1","5"
"26","1993","bachelor's degree","98597","3.7","3.4","4"
"31","2216","some college","65114","4.0","3.5","4"
"28","2013","some college","65170","3.8","3.3","4"
"30","2030","bachelor's degree","73926","4.0","3.4","5"
"28","1930","high school","41933","3.5","3.5","5"
"24","1843","high school","84763","3.3","3.3","4"
"31","2086","associate's degree","52030","4.0","3.0","5"
"26","1870","some high school","54253","3.4","3.4","8"
"30","1986","associate's degree","88694","4.0","3.7","3"
"29","1909","high school","41794","3.4","3.0","6"
"26","1938","some high school","40340","3.7","3.2","6"
"30","2086","some college","69360","3.9","3.3","4"
"31","2045","associate's degree","91083","3.9","3.5","4"
"27","1921","some college","66377","3.5","3.4","6"
"24","1824","high school","72415","3.4","3.5","3"
"27","1933","some college","65617","3.6","3.2","6"
"31","2179","some college","70494","4.0","3.4","5"
"31","2095","associate's degree","80611","4.0","3.6","4"
"28","1986","associate's degree","60162","3.7","3.3","7"
"26","2013","high school","49574","3.7","3.4","5"
"24","1963","some high school","49192","3.5","3.5","4"
"28","2086","some college","51018","3.9","3.2","4"
"29","1993","some college","82403","3.8","3.3","8"
"32","2251","bachelor's degree","76201","4.0","3.7","3"
"29","1913","some high school","56033","3.6","3.4","5"
"28","1900","some high school","70666","3.6","3.2","5"
"29","2024","associate's degree","70072","3.8","3.4","4"
"28","1961","associate's degree","73844","3.6","3.2","4"
"27","1943","associate's degree","67153","3.5","3.2","4"
"28","1964","high school","37929","3.7","2.8","7"
"28","1921","master's degree","98062","3.6","3.1","5"
"28","1957","some college","93749","3.5","3.5","5"
"27","1956","some college","75683","3.7","3.5","4"
"26","1878","some high school","55347","3.4","3.3","5"
"23","1810","high school","62500","3.2","3.5","5"
"34","2098","associate's degree","82862","4.0","3.5","7"
"27","1827","some high school","36183","3.5","3.4","4"
"27","2021","some college","83592","3.8","3.1","5"
"31","2130","associate's degree","87944","4.0","3.7","5"
"32","2092","associate's degree","96356","4.0","3.7","4"
"29","2033","some high school","37887","3.8","3.0","6"
"30","2162","some college","59207","4.0","3.6","3"
"30","1945","some college","70983","3.8","3.5","4"
"26","1854","some college","82911","3.3","3.3","4"
"35","2281","associate's degree","76396","4.0","3.9","3"
"28","1990","associate's degree","92351","3.7","3.3","6"
"29","1982","associate's degree","59558","3.7","3.5","4"
"27","2024","some college","84989","3.8","3.3","4"
"28","2035","some college","44503","3.9","3.2","5"
"28","2053","high school","77741","3.9","3.5","6"
"26","1834","associate's degree","57927","3.5","3.5","3"
"22","1682","associate's degree","66937","3.0","2.8","9"
"35","2207","associate's degree","62094","4.0","3.3","8"
"27","1874","some high school","42206","3.4","3.3","7"
"33","2262","high school","57884","4.0","3.3","9"
"29","2030","associate's degree","74001","3.7","3.4","4"
"29","2132","bachelor's degree","55260","3.9","3.1","5"
"26","1944","some college","58310","3.5","3.2","4"
"25","1858","high school","80260","3.2","3.6","3"
"22","1594","some high school","52220","2.9","3.4","3"
"26","1908","high school","46494","3.4","3.3","7"
"31","2096","associate's degree","48517","4.0","3.6","4"
"28","2023","some college","59372","3.7","3.0","5"
"29","2022","some college","50129","3.9","3.1","7"
"31","2165","some high school","53199","4.0","3.6","4"
"27","2014","some high school","46898","3.7","3.1","6"
"28","1833","bachelor's degree","107817","3.5","3.2","5"
"34","2270","some college","85225","4.0","3.5","6"
"27","1937","some college","65227","3.6","3.0","8"
"29","1951","associate's degree","89683","3.8","3.4","4"
"27","1966","some college","71785","3.6","3.4","4"
"30","2103","master's degree","83625","4.0","3.5","4"
"25","1830","some college","54583","3.4","3.5","5"
"25","1859","associate's degree","51804","3.3","3.3","3"
"33","2087","associate's degree","75622","4.0","3.7","4"
"28","2047","associate's degree","53739","3.8","3.2","4"
"26","1780","some high school","52946","3.3","3.3","4"
"27","1899","some high school","27598","3.5","2.9","7"
"29","2015","high school","58660","3.8","3.5","6"
"27","1934","some college","69526","3.6","3.3","5"
"27","1761","some high school","68309","3.4","2.8","5"
"31","2122","high school","32746","4.0","3.2","7"
"30","2102","some college","66080","3.9","3.7","5"
"29","2046","bachelor's degree","77982","3.8","3.3","6"
"28","1905","high school","43423","3.7","3.1","6"
"32","2155","some college","43766","4.0","3.0","9"
"24","1751","high school","49094","3.1","3.2","5"
"24","1813","master's degree","92747","3.4","3.2","7"
"30","2136","some college","58567","4.0","3.7","7"
"33","2278","high school","37252","4.0","3.3","5"
"29","2003","high school","50892","3.8","3.1","5"
"32","2105","master's degree","87419","4.0","3.6","4"
"28","1958","master's degree","102853","3.7","3.7","3"
"28","1993","some high school","61521","3.6","3.0","6"
"29","2007","associate's degree","78693","3.8","3.2","7"
"26","2011","bachelor's degree","87002","3.6","3.2","5"
"27","2000","some high school","45807","3.6","3.3","5"
"33","2228","some college","58116","4.0","3.6","5"
"27","1861","some high school","72178","3.4","3.2","4"
"27","1867","some high school","40431","3.5","3.0","6"
"29","1983","some college","67527","3.7","3.5","8"
"33","2318","bachelor's degree","68550","4.0","3.8","4"
"28","2013","associate's degree","76541","3.7","3.4","4"
"26","1871","bachelor's degree","98415","3.6","3.4","6"
"27","1868","some college","60917","3.5","3.3","4"
"27","2085","some college","63489","3.8","3.2","6"
"22","1642","some high school","56796","2.9","2.8","7"
"32","2176","bachelor's degree","56717","4.0","3.1","5"
"29","1917","high school","107194","3.7","3.8","3"
"25","1780","some high school","68217","3.3","3.0","9"
"30","2062","associate's degree","65395","4.0","3.6","3"
"26","1916","some high school","36850","3.6","2.9","6"
"30","2128","bachelor's degree","86560","3.9","3.3","5"
"30","2020","associate's degree","72617","3.9","3.6","3"
"30","2127","master's degree","100054","4.0","3.6","4"
"32","2193","bachelor's degree","95847","4.0","3.5","4"
"23","1762","some high school","43229","3.2","3.1","7"
"29","2041","some college","76372","3.8","3.6","4"
"26","1914","associate's degree","65161","3.5","3.4","4"
"25","1882","bachelor's degree","98143","3.6","3.1","5"
"34","2182","associate's degree","65772","4.0","3.6","5"
"32","2209","high school","66774","4.0","3.7","4"
"31","2029","master's degree","77715","4.0","3.6","5"
"32","2135","high school","70546","4.0","3.6","7"
"27","1968","high school","53309","3.7","3.3","4"
"29","1967","associate's degree","103070","3.8","3.7","6"
"32","2067","some college","98115","4.0","3.9","3"
"32","2145","associate's degree","86748","4.0","3.1","6"
"29","2030","some college","59636","3.6","3.0","8"
"28","1961","some college","70215","3.5","3.2","5"
"31","1919","some high school","71687","3.8","3.1","5"
"25","1875","some high school","74255","3.2","3.2","6"
"30","2153","some college","66142","4.0","3.2","5"
"34","2202","associate's degree","64600","4.0","3.6","4"
"26","1898","some high school","38234","3.4","3.3","5"
"21","1688","high school","58602","2.9","3.1","4"
"30","2033","associate's degree","84599","3.9","3.3","7"
"28","1843","high school","42455","3.3","3.5","4"
"27","1872","some college","61068","3.5","3.1","4"
"24","1729","some high school","38285","3.1","3.3","6"
"32","2268","some college","58313","4.0","3.7","3"
"28","2020","some college","43472","3.8","3.1","5"
"34","2106","high school","61115","4.0","3.4","8"
"24","1796","some high school","41962","3.3","3.3","6"
"28","1995","associate's degree","84400","3.8","3.4","4"
"32","2210","bachelor's degree","116398","4.0","3.7","4"
"30","2106","some college","69737","3.9","3.3","5"
"20","1498","some high school","61234","2.7","2.9","4"
"34","2234","high school","48501","4.0","3.5","5"
"25","1924","high school","85573","3.4","3.4","6"
"28","2080","some college","59231","4.0","3.3","4"
"26","1896","some high school","60493","3.5","3.5","3"
"31","2142","high school","89623","4.0","3.4","5"
"33","2170","associate's degree","60342","4.0","3.8","6"
"30","1951","associate's degree","69317","3.8","3.6","3"
"32","2210","high school","58132","4.0","3.7","4"
"35","2193","high school","38397","4.0","3.8","4"
"24","1720","some high school","78058","3.0","3.4","3"
"27","1820","associate's degree","72721","3.3","3.1","7"
"25","1755","some high school","69658","3.2","3.2","4"
"32","2134","bachelor's degree","87722","4.0","3.5","6"
"30","2049","some college","80010","3.8","3.6","3"
"19","1532","some college","32670","2.7","3.0","6"
"28","2015","associate's degree","84344","3.8","3.3","8"
"33","2115","associate's degree","53875","4.0","3.7","3"
"28","1933","associate's degree","65113","3.7","3.3","4"
"33","2284","bachelor's degree","103474","4.0","3.9","4"
"23","1756","high school","71304","3.1","3.4","3"
"26","1892","bachelor's degree","71081","3.4","3.1","8"
"29","2009","high school","43430","3.7","3.5","4"
"33","2252","associate's degree","102428","4.0","3.6","5"
"28","2042","bachelor's degree","79418","3.8","3.4","5"
"27","1946","master's degree","96775","3.7","3.6","4"
"28","2025","associate's degree","95505","3.6","3.7","4"
"26","1864","associate's degree","83409","3.3","3.4","6"
"31","2093","some college","77264","4.0","3.3","7"
"30","2122","some college","53671","4.0","3.3","5"
"31","2140","master's degree","97154","4.0","3.7","4"
"29","2045","some college","73022","3.8","3.4","7"
"33","2358","bachelor's degree","107562","4.0","3.9","4"
"32","2157","high school","56936","4.0","3.4","5"
"28","1972","high school","59725","3.6","3.2","5"
"27","1957","high school","64742","3.7","3.3","5"
"30","2052","associate's degree","55659","3.9","3.3","4"
"33","2173","high school","58983","4.0","3.8","3"
"29","1900","high school","72869","3.7","3.4","4"
"27","1975","some college","55657","3.7","3.4","5"
"29","1956","some college","48960","3.7","3.3","6"
"31","2164","associate's degree","53927","4.0","3.5","4"
"31","2064","high school","73836","3.9","3.6","4"
"28","2000","some college","76026","3.8","3.7","4"
"29","1870","high school","53979","3.5","3.2","4"
"27","1992","high school","49063","3.6","3.1","6"
"29","2053","some college","45463","3.8","3.4","4"
"30","1968","associate's degree","83436","3.9","3.4","6"
"31","2142","high school","57742","4.0","3.7","3"
"30","2135","some college","90538","4.0","3.8","3"
"33","2062","high school","55351","4.0","3.3","4"
"29","1991","master's degree","75639","3.7","3.4","4"
"28","1906","some college","65674","3.6","2.9","5"
"30","2032","some college","62982","4.0","3.4","4"
"31","2081","associate's degree","71138","3.9","3.6","3"
"30","1966","high school","57037","3.8","3.3","4"
"25","1905","some college","78848","3.3","3.1","5"
"27","1999","associate's degree","83867","3.8","3.7","3"
"25","1715","high school","57266","3.1","3.1","4"
"24","1844","associate's degree","43332","3.3","2.9","7"
"29","2024","associate's degree","84237","3.9","3.3","5"
"28","1981","high school","63577","3.7","3.5","5"
"27","1868","high school","78248","3.4","3.7","4"
"29","2026","master's degree","82459","3.9","3.6","5"
"32","2211","bachelor's degree","81054","4.0","3.4","7"
"31","2078","master's degree","83814","3.9","3.5","4"
"34","2203","associate's degree","47960","4.0","3.3","5"
"24","1686","associate's degree","110145","3.0","3.6","4"
"25","1868","high school","66870","3.4","3.3","4"
"29","1998","high school","39493","3.8","3.1","6"
"29","1938","some college","84821","3.6","3.6","3"
"27","1792","some high school","64033","3.3","3.0","5"
"26","1804","high school","38549","3.1","3.0","5"
"30","2053","some college","72560","3.8","3.6","3"
"31","1999","high school","69375","3.9","3.4","6"
"31","2029","high school","77229","4.0","3.2","5"
"24","1794","some college","66152","3.3","3.4","4"
"31","2080","some college","69182","4.0","3.5","4"
"27","1977","some college","53170","3.6","2.9","7"
"26","1921","some college","41104","3.6","3.1","5"
"33","2330","master's degree","92185","4.0","3.8","4"
"29","1942","associate's degree","88935","3.7","3.7","3"
"35","2338","master's degree","79398","4.0","3.7","4"
"25","1872","some high school","65020","3.3","3.0","6"
"31","2016","associate's degree","71451","3.9","3.2","5"
"27","1883","some high school","50713","3.5","3.2","8"
"32","2231","some college","73380","4.0","3.6","5"
"25","1936","some college","79287","3.5","3.5","3"
"25","1937","some college","40084","3.6","3.0","7"
"30","1945","some high school","46095","3.9","3.5","4"
"26","1913","high school","91290","3.5","3.4","4"
"31","2323","bachelor's degree","116280","4.0","3.5","5"
"22","1694","some college","62914","3.1","2.9","6"
"29","1974","some high school","67120","3.7","3.0","5"
"33","2200","some college","68700","4.0","3.6","4"
"28","1983","high school","44176","3.6","3.3","5"
"31","2015","associate's degree","92150","3.8","3.6","6"
"32","2262","some college","73907","4.0","3.6","4"
"24","1844","some college","47075","3.2","3.0","8"
"32","2118","high school","73668","4.0","3.4","4"
"29","2119","some high school","43137","4.0","3.3","5"
"29","2157","bachelor's degree","84104","4.0","3.5","4"
"30","2073","high school","42693","3.9","3.2","6"
"28","2122","associate's degree","85266","4.0","3.2","7"
"26","1849","some high school","45161","3.3","3.3","7"
"29","1906","associate's degree","68350","3.7","3.3","4"
"25","1865","bachelor's degree","80536","3.5","3.5","3"
"32","2130","high school","44051","4.0","3.4","7"
"30","2004","some high school","25024","3.8","3.3","5"
"28","1839","high school","69825","3.3","3.4","4"
"27","1943","high school","48458","3.6","3.3","6"
"28","2048","associate's degree","40139","3.9","3.5","4"
"28","1889","high school","58921","3.5","3.3","4"
"29","2122","associate's degree","111035","4.0","3.5","6"
"34","2229","associate's degree","88336","4.0","3.8","4"
"30","2058","some high school","50314","3.9","3.4","7"
"25","1867","some college","35751","3.4","3.1","5"
"27","1999","master's degree","93314","3.7","3.3","5"
"27","2008","bachelor's degree","97300","3.7","3.4","4"
"30","2106","some college","53960","4.0","3.3","4"
"25","1858","some high school","50248","3.4","3.1","5"
"32","2259","master's degree","85534","4.0","3.6","5"
"26","1922","bachelor's degree","109772","3.6","3.6","4"
"28","1903","some high school","50608","3.7","3.2","5"
"31","2040","some college","71821","4.0","3.7","3"
"28","1967","some high school","45487","3.7","3.4","5"
"29","2091","associate's degree","92139","4.0","3.3","6"
"29","1913","associate's degree","73355","3.7","3.6","7"
"29","2052","some college","65122","4.0","3.5","4"
"24","1738","associate's degree","54529","3.2","3.1","4"
"35","2370","associate's degree","69272","4.0","3.5","4"
"34","2310","bachelor's degree","81556","4.0","3.8","4"
"26","1839","some high school","63877","3.5","3.1","5"
"27","1917","some high school","37638","3.6","3.3","9"
"34","2236","bachelor's degree","94005","4.0","3.6","7"
"30","2071","some high school","72600","4.0","3.5","8"
"27","1968","associate's degree","57651","3.6","3.3","4"
"30","2087","high school","54882","3.8","3.4","4"
"26","1818","some college","68921","3.4","3.2","4"
"25","1812","some high school","78119","3.3","3.6","6"
"31","2104","some high school","75264","4.0","3.6","7"
"23","1690","high school","53687","3.0","3.1","7"
"26","1884","some college","48764","3.5","3.1","5"
"27","1969","some college","57904","3.6","3.4","3"
"31","2204","some college","53611","4.0","3.4","4"
"29","2071","high school","44096","3.9","3.5","8"
"31","2090","high school","54119","4.0","3.4","4"
"27","1937","some college","50925","3.6","3.0","7"
"30","1967","high school","49002","3.8","3.5","6"
"28","2066","some college","83438","3.9","3.5","4"
"27","1971","high school","68577","3.6","3.7","5"
"30","2057","some college","56876","3.8","3.6","3"
"29","2054","some high school","40068","3.9","3.3","5"
